mysql> select content,   if(content like '1-%' ,   '1',   ''  ) countryCode,   if(content like '1-%' ,   SUBSTRING_INDEX(SUBSTRING_INDEX(content, '-', 2),'-',-1),   SUBSTRING_INDEX(TRIM(LEADING '(' FROM content), ')', 1)  ) areaCode,    if(content like '1-%' ,   SUBSTRING_INDEX(content, '-', -2),   SUBSTRING_INDEX(content, ' ', -1)  ) lineNumber from Phone;

+----------------+-------------+----------+------------+
| content        | countryCode | areaCode | lineNumber |
| (478) 772-8338 |             | 478      | 772-8338   |
| (164) 485-5335 |             | 164      | 485-5335   |
| (694) 698-0748 |             | 694      | 698-0748   |
| (645) 905-0933 |             | 645      | 905-0933   |
| (136) 636-9349 |             | 136      | 636-9349   |
| (253) 108-4571 |             | 253      | 108-4571   |
| (466) 132-6506 |             | 466      | 132-6506   |
| (935) 407-2010 |             | 935      | 407-2010   |
| (123) 689-3333 |             | 123      | 689-3333   |
| (907) 334-3667 |             | 907      | 334-3667   |
| (593) 718-7889 |             | 593      | 718-7889   |
| (772) 162-9626 |             | 772      | 162-9626   |
| (707) 753-7207 |             | 707      | 753-7207   |
| (670) 372-9003 |             | 670      | 372-9003   |
| (457) 284-3343 |             | 457      | 284-3343   |
| (639) 630-0488 |             | 639      | 630-0488   |
| (228) 760-7908 |             | 228      | 760-7908   |
| (888) 599-1842 |             | 888      | 599-1842   |
| (635) 250-2869 |             | 635      | 250-2869   |
| (194) 107-6468 |             | 194      | 107-6468   |
| (337) 166-2542 |             | 337      | 166-2542   |
| (238) 859-7852 |             | 238      | 859-7852   |
| (576) 324-8627 |             | 576      | 324-8627   |
| (595) 538-7368 |             | 595      | 538-7368   |
| (775) 688-5141 |             | 775      | 688-5141   |
| (319) 293-0530 |             | 319      | 293-0530   |
| (738) 822-8857 |             | 738      | 822-8857   |
| (147) 228-8320 |             | 147      | 228-8320   |
| (979) 616-1501 |             | 979      | 616-1501   |
| (309) 775-2920 |             | 309      | 775-2920   |
| (277) 329-3432 |             | 277      | 329-3432   |
| (515) 650-5819 |             | 515      | 650-5819   |
| (118) 658-4784 |             | 118      | 658-4784   |
| (289) 730-7653 |             | 289      | 730-7653   |
| (220) 625-1423 |             | 220      | 625-1423   |
| (379) 698-3645 |             | 379      | 698-3645   |
| (305) 175-9444 |             | 305      | 175-9444   |
| (251) 580-6066 |             | 251      | 580-6066   |
| (530) 142-4392 |             | 530      | 142-4392   |
| (799) 650-0389 |             | 799      | 650-0389   |
| (175) 119-4164 |             | 175      | 119-4164   |
| (931) 672-2057 |             | 931      | 672-2057   |
| (795) 240-4986 |             | 795      | 240-4986   |
| (107) 815-9326 |             | 107      | 815-9326   |
| (804) 825-8884 |             | 804      | 825-8884   |
| (850) 764-8433 |             | 850      | 764-8433   |
| (437) 805-7492 |             | 437      | 805-7492   |
| (967) 688-7246 |             | 967      | 688-7246   |
| (503) 276-8196 |             | 503      | 276-8196   |
| (495) 150-6866 |             | 495      | 150-6866   |
| (622) 636-8684 |             | 622      | 636-8684   |
| (154) 998-7725 |             | 154      | 998-7725   |
| (385) 615-1653 |             | 385      | 615-1653   |
| (242) 109-1648 |             | 242      | 109-1648   |
| (976) 375-1405 |             | 976      | 375-1405   |
| (103) 103-7230 |             | 103      | 103-7230   |
| (687) 314-3456 |             | 687      | 314-3456   |
| (443) 836-6889 |             | 443      | 836-6889   |
| (846) 579-1637 |             | 846      | 579-1637   |
| (660) 991-8538 |             | 660      | 991-8538   |
| (841) 962-4607 |             | 841      | 962-4607   |
| (488) 927-4235 |             | 488      | 927-4235   |
| (390) 324-8748 |             | 390      | 324-8748   |
| (501) 120-0981 |             | 501      | 120-0981   |
| (260) 295-3465 |             | 260      | 295-3465   |
| (837) 620-0275 |             | 837      | 620-0275   |
| (845) 890-0551 |             | 845      | 890-0551   |
| (406) 341-3560 |             | 406      | 341-3560   |
| (217) 743-9574 |             | 217      | 743-9574   |
| (683) 309-6350 |             | 683      | 309-6350   |
| (319) 632-3552 |             | 319      | 632-3552   |
| (619) 522-1741 |             | 619      | 522-1741   |
| (779) 352-3936 |             | 779      | 352-3936   |
| (228) 596-4108 |             | 228      | 596-4108   |
| (273) 238-9994 |             | 273      | 238-9994   |
| (346) 560-2318 |             | 346      | 560-2318   |
| (891) 417-8636 |             | 891      | 417-8636   |
| (582) 895-9610 |             | 582      | 895-9610   |
| (592) 343-8406 |             | 592      | 343-8406   |
| (635) 204-2612 |             | 635      | 204-2612   |
| (601) 259-5844 |             | 601      | 259-5844   |
| (405) 927-8622 |             | 405      | 927-8622   |
| (305) 624-3072 |             | 305      | 624-3072   |
| (368) 144-1049 |             | 368      | 144-1049   |
| (121) 783-6428 |             | 121      | 783-6428   |
| (142) 571-2916 |             | 142      | 571-2916   |
| (731) 487-5134 |             | 731      | 487-5134   |
| (971) 938-1480 |             | 971      | 938-1480   |
| (929) 664-4595 |             | 929      | 664-4595   |
| (113) 431-2517 |             | 113      | 431-2517   |
| (370) 490-8931 |             | 370      | 490-8931   |
| (331) 307-8425 |             | 331      | 307-8425   |
| (817) 497-2888 |             | 817      | 497-2888   |
| (508) 263-4798 |             | 508      | 263-4798   |
| (309) 707-7696 |             | 309      | 707-7696   |
| (663) 922-4310 |             | 663      | 922-4310   |
| (537) 372-1079 |             | 537      | 372-1079   |
| (655) 692-8763 |             | 655      | 692-8763   |
| (629) 390-0999 |             | 629      | 390-0999   |
| (983) 682-9973 |             | 983      | 682-9973   |
| (834) 674-8045 |             | 834      | 674-8045   |
| (294) 865-4521 |             | 294      | 865-4521   |
| (577) 211-5747 |             | 577      | 211-5747   |
| (520) 309-4888 |             | 520      | 309-4888   |
| (672) 485-9877 |             | 672      | 485-9877   |
| (501) 558-6130 |             | 501      | 558-6130   |
| (401) 913-8885 |             | 401      | 913-8885   |
| (645) 616-8288 |             | 645      | 616-8288   |
| (973) 769-7192 |             | 973      | 769-7192   |
| (922) 387-3462 |             | 922      | 387-3462   |
| (727) 140-8696 |             | 727      | 140-8696   |
| (762) 532-0363 |             | 762      | 532-0363   |
| (979) 672-8586 |             | 979      | 672-8586   |
| (782) 834-8480 |             | 782      | 834-8480   |
| (179) 875-1364 |             | 179      | 875-1364   |
| (902) 563-8527 |             | 902      | 563-8527   |
| (489) 389-9787 |             | 489      | 389-9787   |
| (205) 464-8675 |             | 205      | 464-8675   |
| (319) 983-3070 |             | 319      | 983-3070   |
| (733) 861-4586 |             | 733      | 861-4586   |
| (638) 168-0841 |             | 638      | 168-0841   |
| (270) 243-2315 |             | 270      | 243-2315   |
| (170) 879-3179 |             | 170      | 879-3179   |
| (323) 770-4645 |             | 323      | 770-4645   |
| (984) 429-4307 |             | 984      | 429-4307   |
| (936) 125-3152 |             | 936      | 125-3152   |
| (514) 716-9148 |             | 514      | 716-9148   |
| (385) 590-8115 |             | 385      | 590-8115   |
| (382) 704-4939 |             | 382      | 704-4939   |
| (787) 442-7243 |             | 787      | 442-7243   |
| (756) 248-4724 |             | 756      | 248-4724   |
| (636) 349-8125 |             | 636      | 349-8125   |
| (168) 496-8676 |             | 168      | 496-8676   |
| (239) 588-2747 |             | 239      | 588-2747   |
| (517) 142-7270 |             | 517      | 142-7270   |
| (462) 654-2048 |             | 462      | 654-2048   |
| (187) 290-0335 |             | 187      | 290-0335   |
| (993) 575-7984 |             | 993      | 575-7984   |
| (151) 685-7416 |             | 151      | 685-7416   |
| (615) 600-2828 |             | 615      | 600-2828   |
| (945) 824-9195 |             | 945      | 824-9195   |
| (419) 653-2507 |             | 419      | 653-2507   |
| (524) 109-8760 |             | 524      | 109-8760   |
| (557) 138-3216 |             | 557      | 138-3216   |
| (875) 227-0524 |             | 875      | 227-0524   |
| (169) 601-9888 |             | 169      | 601-9888   |
| (855) 676-4727 |             | 855      | 676-4727   |
| (178) 662-3465 |             | 178      | 662-3465   |
| (927) 396-1153 |             | 927      | 396-1153   |
| (569) 494-8071 |             | 569      | 494-8071   |
| (372) 768-7248 |             | 372      | 768-7248   |
| (405) 968-8161 |             | 405      | 968-8161   |
| (601) 321-1767 |             | 601      | 321-1767   |
| (293) 375-0368 |             | 293      | 375-0368   |
| (154) 937-5260 |             | 154      | 937-5260   |
| (514) 848-1777 |             | 514      | 848-1777   |
| (951) 528-9977 |             | 951      | 528-9977   |
| (155) 576-1123 |             | 155      | 576-1123   |
| (155) 178-8465 |             | 155      | 178-8465   |
| (484) 991-1196 |             | 484      | 991-1196   |
| (215) 239-1633 |             | 215      | 239-1633   |
| (399) 186-0752 |             | 399      | 186-0752   |
| (102) 101-1375 |             | 102      | 101-1375   |
| (507) 827-9354 |             | 507      | 827-9354   |
| (571) 408-1550 |             | 571      | 408-1550   |
| (973) 887-1094 |             | 973      | 887-1094   |
| (425) 844-8615 |             | 425      | 844-8615   |
| (565) 782-9074 |             | 565      | 782-9074   |
| (583) 930-9861 |             | 583      | 930-9861   |
| (954) 444-6125 |             | 954      | 444-6125   |
| (166) 439-8267 |             | 166      | 439-8267   |
| (794) 683-3178 |             | 794      | 683-3178   |
| (355) 941-1654 |             | 355      | 941-1654   |
| (347) 198-2615 |             | 347      | 198-2615   |
| (421) 494-6647 |             | 421      | 494-6647   |
| (863) 392-4999 |             | 863      | 392-4999   |
| (455) 775-8150 |             | 455      | 775-8150   |
| (545) 726-3700 |             | 545      | 726-3700   |
| (279) 533-1826 |             | 279      | 533-1826   |
| (198) 427-3514 |             | 198      | 427-3514   |
| (126) 523-3637 |             | 126      | 523-3637   |
| (116) 344-9057 |             | 116      | 344-9057   |
| (742) 384-7361 |             | 742      | 384-7361   |
| (701) 887-9129 |             | 701      | 887-9129   |
| (253) 477-1544 |             | 253      | 477-1544   |
| (986) 674-3414 |             | 986      | 674-3414   |
| (190) 713-0407 |             | 190      | 713-0407   |
| (242) 625-0054 |             | 242      | 625-0054   |
| (327) 127-4581 |             | 327      | 127-4581   |
| (160) 839-5642 |             | 160      | 839-5642   |
| (650) 315-0871 |             | 650      | 315-0871   |
| (682) 699-4342 |             | 682      | 699-4342   |
| (109) 695-8394 |             | 109      | 695-8394   |
| (429) 180-0918 |             | 429      | 180-0918   |
| (803) 565-0022 |             | 803      | 565-0022   |
| (556) 823-9025 |             | 556      | 823-9025   |
| (146) 606-9786 |             | 146      | 606-9786   |
| (266) 643-2846 |             | 266      | 643-2846   |
| (881) 324-0023 |             | 881      | 324-0023   |
| (349) 778-6809 |             | 349      | 778-6809   |
| (355) 821-4025 |             | 355      | 821-4025   |
| (529) 335-3057 |             | 529      | 335-3057   |
| (271) 953-7021 |             | 271      | 953-7021   |
| (162) 727-4124 |             | 162      | 727-4124   |
| (985) 814-4105 |             | 985      | 814-4105   |
| (370) 239-3595 |             | 370      | 239-3595   |
| (925) 904-5015 |             | 925      | 904-5015   |
| (245) 580-2785 |             | 245      | 580-2785   |
| (593) 477-6524 |             | 593      | 477-6524   |
| (909) 100-4412 |             | 909      | 100-4412   |
| (638) 300-1716 |             | 638      | 300-1716   |
| (560) 603-4540 |             | 560      | 603-4540   |
| (698) 579-4080 |             | 698      | 579-4080   |
| (127) 501-8210 |             | 127      | 501-8210   |
| (770) 988-5123 |             | 770      | 988-5123   |
| (934) 640-4776 |             | 934      | 640-4776   |
| (969) 542-8269 |             | 969      | 542-8269   |
| (242) 880-4372 |             | 242      | 880-4372   |
| (757) 684-5793 |             | 757      | 684-5793   |
| (907) 696-5747 |             | 907      | 696-5747   |
| (748) 119-5534 |             | 748      | 119-5534   |
| (603) 989-2566 |             | 603      | 989-2566   |
| (264) 178-6330 |             | 264      | 178-6330   |
| (436) 392-3060 |             | 436      | 392-3060   |
| (484) 172-3644 |             | 484      | 172-3644   |
| (127) 206-3666 |             | 127      | 206-3666   |
| (830) 521-5981 |             | 830      | 521-5981   |
| (908) 227-3177 |             | 908      | 227-3177   |
| (952) 696-0240 |             | 952      | 696-0240   |
| (641) 422-2176 |             | 641      | 422-2176   |
| (142) 163-2755 |             | 142      | 163-2755   |
| (956) 605-6714 |             | 956      | 605-6714   |
| (638) 863-0684 |             | 638      | 863-0684   |
| (937) 354-0507 |             | 937      | 354-0507   |
| (458) 685-2169 |             | 458      | 685-2169   |
| (292) 596-9266 |             | 292      | 596-9266   |
| (780) 231-7855 |             | 780      | 231-7855   |
| (843) 318-6136 |             | 843      | 318-6136   |
| (464) 109-7955 |             | 464      | 109-7955   |
| (997) 814-0946 |             | 997      | 814-0946   |
| (742) 216-2938 |             | 742      | 216-2938   |
| (824) 412-7218 |             | 824      | 412-7218   |
| (283) 712-0199 |             | 283      | 712-0199   |
| (580) 328-1287 |             | 580      | 328-1287   |
| (168) 175-8072 |             | 168      | 175-8072   |
| (799) 576-4990 |             | 799      | 576-4990   |
| (853) 288-0923 |             | 853      | 288-0923   |
| (829) 513-5666 |             | 829      | 513-5666   |
| (794) 979-5751 |             | 794      | 979-5751   |
| (587) 995-3231 |             | 587      | 995-3231   |
| (786) 988-7882 |             | 786      | 988-7882   |
| (795) 653-0029 |             | 795      | 653-0029   |
| (907) 146-0259 |             | 907      | 146-0259   |
| (286) 100-1899 |             | 286      | 100-1899   |
| (575) 383-2672 |             | 575      | 383-2672   |
| (365) 407-7137 |             | 365      | 407-7137   |
| (570) 799-7795 |             | 570      | 799-7795   |
| (125) 323-3671 |             | 125      | 323-3671   |
| (181) 103-5339 |             | 181      | 103-5339   |
| (617) 143-2564 |             | 617      | 143-2564   |
| (621) 860-2122 |             | 621      | 860-2122   |
| (818) 698-7644 |             | 818      | 698-7644   |
| (680) 813-3593 |             | 680      | 813-3593   |
| (891) 524-3233 |             | 891      | 524-3233   |
| (682) 876-6920 |             | 682      | 876-6920   |
| (841) 943-3381 |             | 841      | 943-3381   |
| (637) 905-4146 |             | 637      | 905-4146   |
| (740) 265-4772 |             | 740      | 265-4772   |
| (922) 428-7850 |             | 922      | 428-7850   |
| (460) 526-2263 |             | 460      | 526-2263   |
| (747) 554-5021 |             | 747      | 554-5021   |
| (728) 714-0793 |             | 728      | 714-0793   |
| (823) 175-2064 |             | 823      | 175-2064   |
| (879) 431-0863 |             | 879      | 431-0863   |
| (285) 898-6554 |             | 285      | 898-6554   |
| (556) 232-6046 |             | 556      | 232-6046   |
| (749) 716-6145 |             | 749      | 716-6145   |
| (272) 998-2761 |             | 272      | 998-2761   |
| (312) 846-1791 |             | 312      | 846-1791   |
| (477) 210-6638 |             | 477      | 210-6638   |
| (205) 290-9231 |             | 205      | 290-9231   |
| (907) 713-8975 |             | 907      | 713-8975   |
| (748) 321-7782 |             | 748      | 321-7782   |
| (945) 667-1965 |             | 945      | 667-1965   |
| (308) 385-3485 |             | 308      | 385-3485   |
| (599) 201-4848 |             | 599      | 201-4848   |
| (597) 691-2871 |             | 597      | 691-2871   |
| (867) 280-4707 |             | 867      | 280-4707   |
| (800) 185-7906 |             | 800      | 185-7906   |
| (798) 287-9756 |             | 798      | 287-9756   |
| (780) 382-5383 |             | 780      | 382-5383   |
| (422) 255-4302 |             | 422      | 255-4302   |
| (901) 712-0927 |             | 901      | 712-0927   |
| (751) 107-5846 |             | 751      | 107-5846   |
| (703) 532-2511 |             | 703      | 532-2511   |
| (413) 583-4715 |             | 413      | 583-4715   |
| (696) 723-3133 |             | 696      | 723-3133   |
| (188) 946-1956 |             | 188      | 946-1956   |
| (646) 128-7695 |             | 646      | 128-7695   |
| (564) 527-7972 |             | 564      | 527-7972   |
| (299) 333-3775 |             | 299      | 333-3775   |
| (428) 217-3292 |             | 428      | 217-3292   |
| (507) 900-6936 |             | 507      | 900-6936   |
| (313) 291-1517 |             | 313      | 291-1517   |
| (119) 277-3714 |             | 119      | 277-3714   |
| (568) 808-2542 |             | 568      | 808-2542   |
| (857) 372-7482 |             | 857      | 372-7482   |
| (211) 875-3532 |             | 211      | 875-3532   |
| (675) 702-9771 |             | 675      | 702-9771   |
| (727) 743-8377 |             | 727      | 743-8377   |
| (419) 785-2699 |             | 419      | 785-2699   |
| (212) 547-6032 |             | 212      | 547-6032   |
| (915) 911-1651 |             | 915      | 911-1651   |
| (939) 185-5856 |             | 939      | 185-5856   |
| (860) 754-7682 |             | 860      | 754-7682   |
| (857) 231-6911 |             | 857      | 231-6911   |
| (290) 922-1173 |             | 290      | 922-1173   |
| (612) 323-8626 |             | 612      | 323-8626   |
| (947) 317-6214 |             | 947      | 317-6214   |
| (204) 303-7651 |             | 204      | 303-7651   |
| (866) 871-0568 |             | 866      | 871-0568   |
| (427) 751-2055 |             | 427      | 751-2055   |
| (630) 753-3967 |             | 630      | 753-3967   |
| (947) 866-4344 |             | 947      | 866-4344   |
| (208) 697-6870 |             | 208      | 697-6870   |
| (936) 412-7412 |             | 936      | 412-7412   |
| (437) 485-7225 |             | 437      | 485-7225   |
| (368) 973-6749 |             | 368      | 973-6749   |
| (860) 888-9411 |             | 860      | 888-9411   |
| (267) 584-8877 |             | 267      | 584-8877   |
| (401) 937-8653 |             | 401      | 937-8653   |
| (111) 427-5046 |             | 111      | 427-5046   |
| (455) 489-3832 |             | 455      | 489-3832   |
| (652) 237-3189 |             | 652      | 237-3189   |
| (368) 679-3181 |             | 368      | 679-3181   |
| 1-854-220-8547 | 1           | 854      | 220-8547   |
| 1-563-661-4084 | 1           | 563      | 661-4084   |
| 1-604-453-8030 | 1           | 604      | 453-8030   |
| 1-973-318-1236 | 1           | 973      | 318-1236   |
| 1-804-978-1220 | 1           | 804      | 978-1220   |
| 1-337-678-4326 | 1           | 337      | 678-4326   |
| 1-200-915-5809 | 1           | 200      | 915-5809   |
| 1-990-136-5147 | 1           | 990      | 136-5147   |
| 1-585-936-6793 | 1           | 585      | 936-6793   |
| 1-924-707-1487 | 1           | 924      | 707-1487   |
| 1-481-326-7608 | 1           | 481      | 326-7608   |
| 1-358-224-0501 | 1           | 358      | 224-0501   |
| 1-693-568-4932 | 1           | 693      | 568-4932   |
| 1-494-804-9234 | 1           | 494      | 804-9234   |
| 1-944-824-1249 | 1           | 944      | 824-1249   |
| 1-737-850-3461 | 1           | 737      | 850-3461   |
| 1-859-519-8769 | 1           | 859      | 519-8769   |
| 1-525-831-2277 | 1           | 525      | 831-2277   |
| 1-676-607-1551 | 1           | 676      | 607-1551   |
| 1-976-407-3722 | 1           | 976      | 407-3722   |
| 1-380-623-5789 | 1           | 380      | 623-5789   |
| 1-748-169-1118 | 1           | 748      | 169-1118   |
| 1-587-303-6203 | 1           | 587      | 303-6203   |
| 1-946-170-8459 | 1           | 946      | 170-8459   |
+----------------+-------------+----------+------------+
2200 rows in set (0.01 sec)
